battery_id,manufacturer,chemistry,capacity_kWh,charge_cycles,avg_temp_celsius,discharge_rate_c,charge_rate_c,avg_soc_percent,storage_time_months,fast_charge_ratio,calendar_age_years,capacity_retained_percent
BAT000001,Panasonic,NMC,65.54,1524,26.61,1.507,0.5,51.96,0.1,0.155,1.58,81.75
BAT000002,Samsung SDI,LFP,,1072,16.82,0.85,0.927,80.76,11.0,0.466,3.44,81.93
BAT000003,BYD,LFP,99.99,807,6.27,0.751,1.232,74.73,3.5,0.058,0.23,89.75
BAT000004,CATL,NMC,85.96,681,28.65,0.788,1.07,30.95,0.2,0.332,3.43,84.41
BAT000005,Tesla,NMC,69.85,476,41.57,0.683,0.607,59.67,3.6,0.307,0.34,87.04
BAT000006,Tesla,NMC,93.01,1931,17.23,1.573,0.5,63.33,2.4,0.688,0.89,69.32
BAT000007,Tesla,NMC,58.0,572,36.38,0.85,1.189,34.18,3.8,0.245,1.46,89.84
BAT000008,BYD,LFP,91.15,445,36.3,0.5,1.254,56.38,1.6,0.168,0.32,93.4
BAT000009,,NMC,88.92,975,33.91,1.129,1.156,68.85,4.8,0.423,0.65,82.88
BAT000010,CATL,NMC,72.73,1470,26.58,0.5,1.291,48.34,9.5,0.565,,76.58
BAT000011,Tesla,NMC,92.09,789,2.85,1.128,0.5,59.45,1.4,0.024,0.39,92.09
BAT000012,Samsung SDI,NMC,68.29,134,33.23,0.5,0.988,67.46,0.0,0.067,0.22,98.75
BAT000013,BYD,NCA,56.02,489,18.56,1.114,1.059,68.87,8.7,0.105,1.68,92.24
BAT000014,Panasonic,NMC,89.67,399,21.09,0.928,1.186,22.01,6.2,0.075,1.6,91.62
BAT000015,Tesla,NCA,73.72,878,31.29,0.897,1.713,72.71,1.6,0.384,3.37,79.63
BAT000016,Tesla,LFP,84.03,888,39.22,0.5,0.5,38.73,5.7,,2.52,88.19
BAT000017,Panasonic,NMC,102.31,173,35.79,,0.832,36.48,1.7,0.139,1.36,91.01
BAT000018,LG Chem,LFP,64.17,444,26.21,0.789,,67.62,4.0,0.097,0.36,97.95
BAT000019,LG Chem,NMC,72.85,892,30.17,0.745,1.115,51.85,0.2,0.192,6.85,79.46
BAT000020,Panasonic,LFP,98.54,166,17.26,1.069,1.597,64.27,13.0,,1.71,98.08
BAT000021,CATL,NMC,85.03,632,13.64,1.143,1.486,15.43,1.6,0.237,0.2,88.51
BAT000022,Tesla,LFP,64.5,622,32.56,0.876,1.323,48.54,6.6,0.016,1.06,91.63
BAT000023,Panasonic,NMC,,476,27.26,0.5,1.559,58.63,0.9,0.088,1.11,91.52
BAT000024,Panasonic,,67.08,499,14.86,0.602,,47.98,1.7,0.188,1.16,93.14
BAT000025,LG Chem,NMC,63.92,1150,,0.73,0.996,51.09,13.4,,8.87,78.2
BAT000026,BYD,NCA,78.56,469,29.32,1.773,1.866,61.28,1.2,0.473,0.46,87.58
BAT000027,Tesla,NMC,76.18,555,,2.128,1.09,34.55,5.3,0.072,0.45,90.13
BAT000028,LG Chem,LFP,79.19,890,29.4,0.911,0.807,45.88,,0.162,0.83,88.67
BAT000029,CATL,NMC,,640,22.46,1.164,1.18,61.0,12.9,0.045,2.36,91.66
BAT000030,Tesla,NMC,73.94,598,19.06,1.336,0.791,57.02,1.3,0.202,0.93,93.18
BAT000031,CATL,LFP,44.16,671,25.82,1.258,1.248,58.01,4.8,0.011,0.48,94.45
BAT000032,Tesla,NCA,77.18,648,30.61,0.941,1.149,29.2,0.9,0.06,5.54,79.94
BAT000033,Tesla,NMC,92.63,1271,31.34,1.546,0.5,84.98,5.4,,5.29,77.23
BAT000034,Samsung SDI,NCA,53.63,454,45.31,1.066,0.982,59.17,3.6,,0.9,89.81
BAT000035,Samsung SDI,LFP,82.25,,25.25,1.017,0.5,62.65,0.4,0.048,1.71,89.62
BAT000036,BYD,LFP,65.83,1232,17.23,,0.686,58.65,1.2,0.086,1.09,87.95
BAT000037,Panasonic,NMC,87.04,583,32.61,0.676,0.666,56.83,1.0,0.178,1.17,90.31
BAT000038,Tesla,NMC,77.38,958,25.58,0.5,1.108,52.39,0.3,0.307,3.41,83.75
BAT000039,CATL,NCA,81.07,392,16.02,0.788,1.895,70.7,0.9,0.567,2.14,88.39
BAT000040,LG Chem,NMC,75.97,356,29.37,0.798,1.278,64.1,0.3,0.042,0.6,99.67
BAT000041,Tesla,NMC,94.92,69,34.88,0.5,0.889,64.23,2.7,0.124,3.69,89.95
BAT000042,LG Chem,NMC,80.21,996,27.68,0.894,0.96,48.6,1.4,0.237,1.2,86.21
BAT000043,Tesla,NMC,64.42,771,34.97,1.787,1.193,38.16,1.8,0.156,0.12,87.46
BAT000044,Samsung SDI,LFP,76.48,893,21.61,0.5,0.5,38.83,6.6,0.339,2.26,
BAT000045,Panasonic,LFP,69.47,382,19.91,1.028,1.053,69.76,1.6,0.214,5.45,89.28
BAT000046,,LFP,77.44,535,30.98,0.603,0.772,59.26,0.7,0.48,7.96,80.89
